"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5113","can filter by categories Hand Saw","webkit","Tue Apr 01 09:22:25 GMT 2025","passed","Tue Apr 01 09:22:30 GMT 2025","Home Page","","",""
"","4581","should login with valid credentials for admin@practicesoftwaretesting.com","firefox","Tue Apr 01 09:21:58 GMT 2025","passed","Tue Apr 01 09:22:03 GMT 2025","Login Page","","",""
"","4792","should not login with invalid credentials for admin@practicesoftwaretesting.com","webkit","Tue Apr 01 09:23:02 GMT 2025","passed","Tue Apr 01 09:23:06 GMT 2025","Login Page","","",""
"","5024","can sort by Name (A - Z)","webkit","Tue Apr 01 09:22:40 GMT 2025","passed","Tue Apr 01 09:22:45 GMT 2025","Home Page","","",""
"","5211","can filter by categories Power Tools","webkit","Tue Apr 01 09:22:30 GMT 2025","passed","Tue Apr 01 09:22:36 GMT 2025","Home Page","","",""
"","4537","should login with valid credentials for customer2@practicesoftwaretesting.com","chromium","Tue Apr 01 09:21:24 GMT 2025","passed","Tue Apr 01 09:21:29 GMT 2025","Login Page","","",""
"","2718","can sort by Price (Low - High)","firefox","Tue Apr 01 09:21:56 GMT 2025","passed","Tue Apr 01 09:21:58 GMT 2025","Home Page","","",""
"","2825","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","firefox","Tue Apr 01 09:22:07 GMT 2025","passed","Tue Apr 01 09:22:09 GMT 2025","Login Page","","",""
"","2715","can sort by Name (Z - A)","firefox","Tue Apr 01 09:21:55 GMT 2025","passed","Tue Apr 01 09:21:58 GMT 2025","Home Page","","",""
"","2682","can search for pliers","firefox","Tue Apr 01 09:21:39 GMT 2025","passed","Tue Apr 01 09:21:41 GMT 2025","Home Page","","",""
"","3078","can search for thor hammer","chromium","Tue Apr 01 09:20:59 GMT 2025","passed","Tue Apr 01 09:21:02 GMT 2025","Home Page","","",""
"","6332","should login with valid credentials for customer@practicesoftwaretesting.com","webkit","Tue Apr 01 09:22:55 GMT 2025","passed","Tue Apr 01 09:23:01 GMT 2025","Login Page","","",""
"","2672","can sort by Price (High - Low)","firefox","Tue Apr 01 09:21:58 GMT 2025","passed","Tue Apr 01 09:22:00 GMT 2025","Home Page","","",""
"","4409","should login with valid credentials for admin@practicesoftwaretesting.com","chromium","Tue Apr 01 09:21:20 GMT 2025","passed","Tue Apr 01 09:21:24 GMT 2025","Login Page","","",""
"","2804","should not login with invalid credentials for admin@practicesoftwaretesting.com","firefox","Tue Apr 01 09:22:04 GMT 2025","passed","Tue Apr 01 09:22:07 GMT 2025","Login Page","","",""
"","4720","can filter by categories Screwdriver, Chisels","chromium","Tue Apr 01 09:21:08 GMT 2025","passed","Tue Apr 01 09:21:13 GMT 2025","Home Page","","",""
"","3382","can filter by categories Hand Saw","firefox","Tue Apr 01 09:21:41 GMT 2025","passed","Tue Apr 01 09:21:45 GMT 2025","Home Page","","",""
"","3314","can filter by categories Wrench","firefox","Tue Apr 01 09:21:44 GMT 2025","passed","Tue Apr 01 09:21:48 GMT 2025","Home Page","","",""
"","7405","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","chromium","Tue Apr 01 09:21:10 GMT 2025","passed","Tue Apr 01 09:21:17 GMT 2025","Home Page","","",""
"","4493","can search for thor hammer","webkit","Tue Apr 01 09:22:19 GMT 2025","passed","Tue Apr 01 09:22:23 GMT 2025","Home Page","","",""
"","5143","can sort by Price (High - Low)","webkit","Tue Apr 01 09:22:50 GMT 2025","passed","Tue Apr 01 09:22:55 GMT 2025","Home Page","","",""
"","5151","can filter by categories Wrench","webkit","Tue Apr 01 09:22:28 GMT 2025","passed","Tue Apr 01 09:22:34 GMT 2025","Home Page","","",""
"","3413","can filter by categories Hammer","firefox","Tue Apr 01 09:21:41 GMT 2025","passed","Tue Apr 01 09:21:44 GMT 2025","Home Page","","",""
"","2595","can sort by Price (High - Low)","chromium","Tue Apr 01 09:21:18 GMT 2025","passed","Tue Apr 01 09:21:21 GMT 2025","Home Page","","",""
"","2608","can search for thor hammer","firefox","Tue Apr 01 09:21:38 GMT 2025","passed","Tue Apr 01 09:21:41 GMT 2025","Home Page","","",""
"","3865","should login with valid credentials for customer@practicesoftwaretesting.com","firefox","Tue Apr 01 09:22:00 GMT 2025","passed","Tue Apr 01 09:22:04 GMT 2025","Login Page","","",""
"","2581","can sort by Name (Z - A)","chromium","Tue Apr 01 09:21:16 GMT 2025","passed","Tue Apr 01 09:21:18 GMT 2025","Home Page","","",""
"","3075","can filter by categories Hand Saw","chromium","Tue Apr 01 09:21:03 GMT 2025","passed","Tue Apr 01 09:21:06 GMT 2025","Home Page","","",""
"","5366","can search for nail","chromium","Tue Apr 01 09:20:53 GMT 2025","passed","Tue Apr 01 09:20:58 GMT 2025","Home Page","","",""
"","4651","can search for nail","webkit","Tue Apr 01 09:22:14 GMT 2025","passed","Tue Apr 01 09:22:19 GMT 2025","Home Page","","",""
